"Date","Windows","Unknown","OS X","Linux","macOS","Other"
2021-01,86.06,7.88,5.57,0.48,0,0
2021-02,84.41,9.83,5.33,0.42,0,0
2021-03,85.08,9.04,5.41,0.47,0,0.01
2021-04,85,9.55,4.96,0.48,0,0.01
2021-05,83.67,11.12,4.79,0.42,0,0.01
2021-06,81.99,12.35,5.2,0.44,0,0.02
2021-07,81.78,12.65,5.04,0.52,0,0
2021-08,84.74,9.05,5.63,0.57,0,0.01
2021-09,86.01,7.94,5.57,0.47,0,0
2021-10,86.51,7.63,5.37,0.49,0,0
2021-11,85.29,8.15,5.99,0.56,0,0
2021-12,84.5,9,5.9,0.6,0,0
2022-01,85.65,8.03,5.61,0.7,0,0
2022-02,85.36,8.15,5.67,0.82,0,0
2022-03,85.82,7.6,5.89,0.69,0,0
2022-04,85.58,7.74,5.98,0.69,0,0.01
2022-05,85.05,7.86,6.42,0.66,0,0
2022-06,84.55,8.66,6.02,0.76,0,0
2022-07,79.82,13.54,5.87,0.77,0,0.01
2022-08,84.51,8.73,5.93,0.83,0,0
2022-09,85.32,7.65,5.91,1.12,0,0
2022-10,86.6,6.7,6.02,0.68,0,0
2022-11,86.96,6.46,5.83,0.74,0,0
2022-12,86.84,7.49,4.88,0.79,0,0
2023-01,86.43,7.45,4.97,1.14,0,0
2023-02,85.33,7.51,5.3,1.86,0,0
2023-03,82.51,9.69,6.5,1.3,0,0
2023-04,81.56,11.36,6.31,0.75,0,0.02
2023-05,83.46,9.77,5.59,1.17,0,0.01
2023-06,81.57,12.4,4.78,1.25,0,0
2023-07,80.62,13.58,4.91,0.88,0,0.01
2023-08,78.37,11.74,5.75,4.13,0,0
2023-09,74.5,16.02,6.2,3.28,0,0
2023-10,76.34,14.22,6.43,3.01,0,0.01
2023-11,79.7,11.35,6.3,2.64,0,0
2023-12,81.12,11.1,6.61,1.17,0,0.01
2024-01,79.25,12.21,7.52,1.02,0,0
2024-02,75.48,14.73,8.87,0.92,0,0
2024-03,78.24,14.2,6.43,1.13,0,0
2024-04,79.98,12.8,6.13,1.09,0,0
2024-05,80.57,12.01,6.35,1.06,0,0.01
2024-06,78.93,12.64,7.2,1.22,0,0.01
2024-07,77.43,13.5,7.74,1.33,0,0
2024-08,78.59,11.97,8.23,1.2,0,0.01
2024-09,84.17,6.3,8.11,1.23,0,0.19
2024-10,84.71,6.73,7.39,1.08,0,0.08
2024-11,84.44,7.09,7.15,1.31,0,0.02
2024-12,83.55,8.21,7.05,1.18,0,0.01
2025-01,81.28,8.65,8.87,1.2,0,0
2025-02,80.87,9.04,8.79,1.29,0,0
2025-03,80.15,7.92,10.22,1.27,0.44,0
2025-04,80.18,8,9.37,1.24,1.21,0
