"Date","Windows","OS X","Unknown","Linux","Chrome OS","macOS","Other"
2021-01,76.26,16.91,3,1.91,1.91,0,0.01
2021-02,75.89,16.74,3.4,1.98,1.99,0,0.01
2021-03,75.56,16.48,3.9,1.97,2.09,0,0.01
2021-04,74.94,16.02,4.81,2.18,2.04,0,0.01
2021-05,73.54,15.87,5.93,2.38,2.27,0,0.01
2021-06,72.98,15.56,7.27,2.68,1.51,0,0.01
2021-07,73.04,15.43,7.93,2.38,1.21,0,0.01
2021-08,76.12,16.14,3.61,2.38,1.74,0,0.01
2021-09,75.4,15.93,3.74,2.33,2.59,0,0.01
2021-10,75.18,15.89,4.23,2.15,2.54,0,0.01
2021-11,74.28,16.04,4.99,2.08,2.6,0,0.01
2021-12,73.72,15.33,6.67,2.09,2.18,0,0.01
2022-01,75.5,15.85,3.86,2.19,2.6,0,0.01
2022-02,75.85,15.76,3.31,2.19,2.87,0,0.01
2022-03,75.7,15.32,3.83,2.36,2.79,0,0.01
2022-04,74.79,15.38,4.97,2.49,2.36,0,0.01
2022-05,75.54,14.98,4.81,2.45,2.22,0,0.01
2022-06,76.33,14.64,4.88,2.42,1.71,0,0.01
2022-07,75.21,14.51,6,2.76,1.5,0,0.01
2022-08,74.73,14.39,6.19,2.8,1.88,0,0.01
2022-09,75.06,14.86,4.86,2.8,2.41,0,0.01
2022-10,75.96,15.7,3.34,2.6,2.38,0,0.01
2022-11,75.11,15.6,4.03,2.77,2.48,0,0.01
2022-12,75.34,14.66,4.78,2.93,2.28,0,0.01
2023-01,74.14,15.33,5.27,2.91,2.35,0,0.01
2023-02,71.78,16.26,6.12,2.94,2.9,0,0.01
2023-03,69.4,17.21,7.3,2.85,3.23,0,0.01
2023-04,62.65,17.79,13,2.83,3.72,0,0.01
2023-05,62.06,18.96,12.69,2.7,3.59,0,0.01
2023-06,68.23,21.32,3.24,3.07,4.13,0,0.01
2023-07,69.52,20.42,3.69,3.12,3.24,0,0.01
2023-08,69.26,20.18,4.02,3.18,3.34,0,0.01
2023-09,68.41,20.15,4.52,3.02,3.89,0,0.01
2023-10,68.87,20.34,3.75,2.92,4.1,0,0.01
2023-11,69.02,21.01,3.03,3.22,3.71,0,0.01
2023-12,72.72,16.38,4.64,3.83,2.42,0,0.01
2024-01,73,16.11,5.33,3.77,1.78,0,0.01
2024-02,72.17,15.42,6.1,4.03,2.27,0,0.01
2024-03,72.47,14.68,6.52,4.05,2.27,0,0.01
2024-04,73.5,14.7,5.34,3.88,2.56,0,0.01
2024-05,73.91,14.9,4.87,3.77,2.54,0,0.01
2024-06,72.81,14.97,6.23,4.05,1.93,0,0.01
2024-07,72.1,14.92,7.13,4.44,1.41,0,0.01
2024-08,71.46,15.48,6.77,4.55,1.73,0,0.01
2024-09,73.35,15.45,4.47,4.48,2.25,0,0.01
2024-10,73.39,15.52,4.66,4.3,2.13,0,0.01
2024-11,72.94,15.38,5.4,4.04,2.24,0,0.01
2024-12,73.38,14.16,6.43,4.13,1.89,0,0.01
2025-01,71.9,15.02,7.43,3.72,1.92,0,0.01
2025-02,70.62,15.74,8.01,3.81,1.81,0,0
2025-03,71.68,13.59,6.78,3.98,1.86,2.11,0
2025-04,71.06,10.06,7.19,4.27,1.84,5.58,0
