事件名称,类型,起始年代,结束年代,历时,备注
杯酒释兵权,政治,961,961,1,宋太祖赵匡胤为加强中央集权，解除禁军高级将领兵权的事件
烛影斧声,政治,976,976,1,宋太祖赵匡胤去世，宋太宗赵光义继位，围绕皇位继承的神秘事件
三川口之战,军事,1040,1040,1,西夏元昊进攻北宋，宋军大败，延州之围得以缓解
庆历和议,外交,1044,1044,1,北宋与西夏达成协议，西夏向宋称臣，宋每年赐给西夏银、绮、绢、茶二十五万五千
元丰五路伐夏,军事,1081,1081,1,宋神宗发动五路伐夏大战，宋军占领了银、石、夏、宥诸州
金灭辽,军事,1125,1125,1,金军攻灭辽朝，改变了北方政治格局
靖康之变,军事,1126,1127,2,金军攻陷北宋都城汴京，俘虏宋徽宗、宋钦宗，北宋灭亡
绍兴和议,外交,1141,1141,1,南宋与金达成的和议，确定了双方的边界和臣属关系
郾城大捷,军事,1140,1140,1,南宋名将岳飞率领岳家军在郾城大败金军主力
隆兴北伐,军事,1163,1164,1,南宋孝宗时期对金发动的一次大规模军事行动，最终因准备不足而失败
开禧北伐,军事,1206,1206,1,南宋韩侂胄发动的对金战争，因内部矛盾和准备不足而失败
蒙古灭西夏,军事,1227,1227,1,蒙古军队攻灭西夏，西夏灭亡
蒙古灭金,军事,1234,1234,1,蒙古军队攻灭金朝，北方格局再次变化
崖山海战,军事,1279,1279,1,南宋残余势力与元军在崖山进行的海上决战，南宋灭亡
